 ra        dec       radius SpT   DM    PMra  PMdec    SPM    mem    memp   mem1
 44.18580  44.41161  6.9949 239   5.75  25.10 -37.80   0.70   0.00   0.00   0.00
 44.28337  45.84385  6.0121 294   5.83  47.10 -40.90   1.00   0.00   0.00   0.00
 44.39645  45.27893  6.2974 235   6.08  14.20  -6.90   0.90   0.00   0.00   0.00
 44.41968  45.12095  6.3882 237   4.34  32.60 -19.30   0.80   0.00   0.00   0.00
 44.48566  45.80927  5.9187 290   5.79  31.20 -48.10   1.00   0.00   0.00   0.00
 44.52814  45.89543  5.8438 230   6.20   8.10 -15.60   0.90   0.00   0.00   0.00
 44.59432  45.52317  6.0345 306   5.99  32.70 -27.40   0.90   0.00   0.00   0.00
 44.67863  44.06740  7.0042 308   6.13  44.20 -54.50   1.20   0.00   0.00   0.00
 44.70420  44.00382  7.0400 314   6.17  17.70 -17.80   1.50   0.00   0.00   0.00
 45.08027  44.73075  6.3211 307   5.03  22.10 -17.60   0.70   0.00   0.00   0.00
 45.10131  45.25556  5.9416 291   6.15  29.50 -21.00   1.10   0.00   0.00   0.00
 45.24574  44.22533  6.6191 306   6.39   5.00 -40.50   1.70   0.00   0.00   0.00
 45.27458  45.51496  5.6770 242   5.89  13.20 -12.90   0.80   0.00   0.00   0.00
 45.30948  45.58944  5.6093 300   6.41  -4.50 -23.20   1.70   0.00   0.00   0.00
 45.59443  45.02238  5.8587 314   6.49   4.70 -17.10   2.20   0.00   0.00   0.00
 45.62642  44.33801  6.3586 318   6.02 -14.00 -12.20   0.80   0.00   0.00   0.00
 45.62717  45.40201  5.5726 289   5.95  20.60 -21.50   0.90   0.05   0.19   0.04
 45.63866  45.01057  5.8459 279   6.54  -3.20 -14.70   2.40   0.00   0.00   0.00
 45.71053  44.39066  6.2798 290   5.77  11.70 -12.00   0.80   0.00   0.00   0.00
 45.87659  44.49131  6.1270 285   6.48  17.80 -11.00   2.00   0.00   0.00   0.00
